"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","0","","test_lesson","TestLesson","","","test_delete_lesson[{""action"":""delete_course"",""id"":"" ""}-{""code"":2}]",""
"passed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","8","","test_lesson","TestLesson","","","test_list_lesson[{""action"":""list_course"",""pagenum"":""1"",""pagesize"":""1""}-{""code"":0}]",""
"passed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","8","","test_lesson","TestLesson","","","test_list_lesson[{""action"":""list_course"",""pagenum"":""a"",""pagesize"":""20""}-{""code"":2}]",""
"failed","Fri Jun 26 17:34:49 CST 2020","Fri Jun 26 17:34:49 CST 2020","1","","test_01","","","","test_001[5-6]",""
"failed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","5","","test_lesson","TestLesson","","","test_add_lesson[{
  ""name"":""大学英语 "",
  ""desc"":""大学英语课程"",
  ""display_idx"":""4""
}
-{""code"":20}]",""
"failed","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","4","","test_lesson","TestLesson","","","test_add_lesson[{
  ""name"":""大学英语"",
  ""desc"":""大学英语课程"",
  ""display_idx"":""a4""
}
-{""code"":23}]",""
"failed","Fri Jun 26 17:34:51 CST 2020","Fri Jun 26 17:34:51 CST 2020","5","","test_lesson","TestLesson","","","test_add_lesson[{
  ""name"":""大学语文{{courseName}}"",
  ""desc"":""大学英语课程"",
  ""display_idx"":""""
}
-{""code"":3}]",""
"broken","Fri Jun 26 17:34:55 CST 2020","Fri Jun 26 17:34:56 CST 2020","135","","test_login","TestLogin","","","test_Login[{""username"": null, ""password"": ""sdfsdfsdf""}-{""recode"": -1, ""reason"": ""\u7528\u6237\u6216\u5bc6\u7801\u9519\u8bef""}]",""
"broken","Fri Jun 26 17:34:56 CST 2020","Fri Jun 26 17:34:56 CST 2020","10","","test_login","TestLogin","","","test_Login[{""username"": ""auto"", ""password"": null}-{""recode"": -1, ""reason"": ""\u7528\u6237\u6216\u5bc6\u7801\u9519\u8bef""}]",""
"broken","Fri Jun 26 17:34:52 CST 2020","Fri Jun 26 17:34:52 CST 2020","0","","test_lesson","TestLesson","","","test_delete_lesson[{""action"":""delete_course"",""id"":""123321""}-{""code"":2}]",""
